FID,lat,lon
212,40.759680137499998,-73.978380915100004
213,40.759679999799999,-73.977658978500003
214,40.759679857499997,-73.976937041799999
215,40.759679710699999,-73.976215105199998
216,40.759679559399999,-73.975493168499995
217,40.759679403600003,-73.974771231899993
218,40.759679243199997,-73.974049295300006
219,40.759679078300003,-73.973327358600002
220,40.759678908900000,-73.972605422000001
221,40.759678735000001,-73.971883485399999
222,40.759678556499999,-73.971161548799998
223,40.759678373500002,-73.970439612099995
224,40.759678186000002,-73.969717675499993
225,40.759677994000000,-73.968995738900006
226,40.759677797400002,-73.968273802300004
227,40.759677596300001,-73.967551865700003
228,40.759677390699999,-73.966829929100001
229,40.759677180600001,-73.966107992500000
230,40.759676965899999,-73.965386055899998
231,40.759676746799997,-73.964664119399998
232,40.759676523099998,-73.963942182799997
233,40.759676294800002,-73.963220246199995
234,40.759676062099999,-73.962498309599994
235,40.760229472299997,-73.980546564799994
236,40.760229348199999,-73.979824622099997
237,40.760229219499998,-73.979102679500002
238,40.760229086199999,-73.978380736899993
239,40.760228948500000,-73.977658794299998
240,40.760228806199997,-73.976936851700003
241,40.760228659399999,-73.976214909099994
242,40.760228508099999,-73.975492966600001
243,40.760228352299997,-73.974771024000006
244,40.760228191899998,-73.974049081399997
245,40.760228026999997,-73.973327138800002
246,40.760227857600000,-73.972605196200007
247,40.760227683700002,-73.971883253599998
248,40.760227505200000,-73.971161311100005
249,40.760227322200002,-73.970439368499996
250,40.760227134700003,-73.969717426000003
251,40.760226942700001,-73.968995483399993
252,40.760226746100003,-73.968273540799999
253,40.760226545000002,-73.967551598300005
254,40.760226339399999,-73.966829655699996
255,40.760226129300001,-73.966107713200003
256,40.760225914599999,-73.965385770699996
257,40.760225695499997,-73.964663828100001
258,40.760225471799998,-73.963941885599993
259,40.760778655800003,-73.981990301600007
260,40.760778540700002,-73.981268353000004
261,40.760778420999998,-73.980546404400002
262,40.760778296799998,-73.979824455900001
263,40.760778168199998,-73.979102507299999
264,40.760778034900000,-73.978380558799998
265,40.760777897200001,-73.977658610199995
266,40.760777754899998,-73.976936661699995
267,40.760777608100000,-73.976214713100006
268,40.760777456800000,-73.975492764600006
269,40.760777300999997,-73.974770816000003
270,40.760777140599998,-73.974048867500002
271,40.760776975699997,-73.973326919000002
272,40.760776806300001,-73.972604970399999
273,40.760776632300001,-73.971883021899998
274,40.760776453900000,-73.971161073399998
275,40.760776270900003,-73.970439124899997
276,40.760776083400003,-73.969717176399996
277,40.760775891300000,-73.968995227899995
278,40.760775694800003,-73.968273279399995
279,40.760775493700002,-73.967551330899994
280,40.760775288100000,-73.966829382399993
281,40.760775078000002,-73.966107433900007
282,40.760774863300000,-73.965385485400006
283,40.761327821099997,-73.983434062200004
284,40.761327715000000,-73.982712107599994
285,40.761327604400002,-73.981990153100000
286,40.761327489300001,-73.981268198600006
287,40.761327369699998,-73.980546244099997
288,40.761327245499999,-73.979824289600003
289,40.761327116799997,-73.979102335099995
290,40.761326983600000,-73.978380380600001
291,40.761326845799999,-73.977658426100007
292,40.761326703599998,-73.976936471599998
293,40.761326556800000,-73.976214517100004
294,40.761326405399998,-73.975492562599996
295,40.761326249600003,-73.974770608100002
296,40.761326089199997,-73.974048653599993
297,40.761325924300003,-73.973326699099999
298,40.761325754900000,-73.972604744700007
299,40.761325581000001,-73.971882790199999
300,40.761325402499999,-73.971160835700005
301,40.761325219500002,-73.970438881199996
302,40.761325032000002,-73.969716926800004
303,40.761324840000000,-73.968994972299996
304,40.761324643400002,-73.968273017900003
305,40.761324442300001,-73.967551063399995
306,40.761324236699998,-73.966829109000003
